"phase","tier","family","design_case_id","analysis_case_id","chunk_id","replicate_start","replicate_end","seed"
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,1,1,1000,21261011
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,2,1001,2000,22261014
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,3,2001,3000,23261017
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,4,3001,4000,24261020
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,5,4001,5000,25261023
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,6,5001,6000,26261026
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,7,6001,7000,27261029
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,8,7001,8000,28261032
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,9,8001,9000,29261035
"generate_design","adversarial","z","z-dpoint-m0p3-usd1-short",NA,10,9001,10000,30261038
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,1,1,1000,21261012
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,2,1001,2000,22261015
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,3,2001,3000,23261018
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,4,3001,4000,24261021
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,5,4001,5000,25261024
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,6,5001,6000,26261027
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,7,6001,7000,27261030
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,8,7001,8000,28261033
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,9,8001,9000,29261036
"generate_design","adversarial","z","z-dpoint-0-usd50-short",NA,10,9001,10000,30261039
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,1,1,1000,21261013
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,2,1001,2000,22261016
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,3,2001,3000,23261019
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,4,3001,4000,24261022
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,5,4001,5000,25261025
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,6,5001,6000,26261028
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,7,6001,7000,27261031
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,8,7001,8000,28261034
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,9,8001,9000,29261037
"generate_design","adversarial","z","z-dpoint-10-usd50-short",NA,10,9001,10000,30261040
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,1,1,1000,21261014
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,2,1001,2000,22261017
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,3,2001,3000,23261020
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,4,3001,4000,24261023
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,5,4001,5000,25261026
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,6,5001,6000,26261029
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,7,6001,7000,27261032
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,8,7001,8000,28261035
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,9,8001,9000,29261038
"generate_design","adversarial","z","z-dnorm-10-s20-usd50-short",NA,10,9001,10000,30261041
"generate_design","long","z","z-dpoint-0-usd1-long",NA,1,1,1000,21261015
"generate_design","long","z","z-dpoint-0-usd1-long",NA,2,1001,2000,22261018
"generate_design","long","z","z-dpoint-0-usd1-long",NA,3,2001,3000,23261021
"generate_design","long","z","z-dpoint-0-usd1-long",NA,4,3001,4000,24261024
"generate_design","long","z","z-dpoint-0-usd1-long",NA,5,4001,5000,25261027
"generate_design","long","z","z-dpoint-0-usd1-long",NA,6,5001,6000,26261030
"generate_design","long","z","z-dpoint-0-usd1-long",NA,7,6001,7000,27261033
"generate_design","long","z","z-dpoint-0-usd1-long",NA,8,7001,8000,28261036
"generate_design","long","z","z-dpoint-0-usd1-long",NA,9,8001,9000,29261039
"generate_design","long","z","z-dpoint-0-usd1-long",NA,10,9001,10000,30261042
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,1,1,1000,21261016
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,2,1001,2000,22261019
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,3,2001,3000,23261022
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,4,3001,4000,24261025
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,5,4001,5000,25261028
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,6,5001,6000,26261031
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,7,6001,7000,27261034
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,8,7001,8000,28261037
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,9,8001,9000,29261040
"generate_design","long","z","z-dpoint-0p2-usd1-long",NA,10,9001,10000,30261043
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,1,1,1000,21261017
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,2,1001,2000,22261020
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,3,2001,3000,23261023
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,4,3001,4000,24261026
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,5,4001,5000,25261029
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,6,5001,6000,26261032
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,7,6001,7000,27261035
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,8,7001,8000,28261038
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,9,8001,9000,29261041
"generate_design","long","z","z-dnorm-0p2-s0p1-usd1-long",NA,10,9001,10000,30261044
